"Identifier"	"English Label"	"French label"
"vega_size_step"	"Leave the corresponding field empty if you use 'step'"	"Laisser vide le champ correspondant si vous utilisez 'step'"
"formatBubblePlot"	"Graph - bubble plot"	"Graphique - diagramme à bulles"
"formatBubblePlotDescription"	"A bubble chart is a graphical representation that displays data in three dimensions."	"Un graphique à bulles est une représentation graphique qui affiche des données en trois dimensions."
"formatFlowMap"	"Graph - flow map"	"Graphique - cartographie de flux"
"formatFlowMapDescription"	"Flow mapping is an essential descriptive tool to analyze the current state of a value chain"	"La cartographie des flux est un outil descriptif incontournable pour analyser l'état actuel d'une chaine de valeur"
"world_position"	"World Projection"	"Projection du monde"
"world_position_world"	"Worldwide Projection"	"Projection mondiale"
"world_position_europe"	"European Projection"	"Projection européenne"
"world_position_france"	"French Projection"	"Projection française"
"kbart"	"KBART"	"KBART"
"formatIstexRefbibs"	"Other - Cited article"	"Autre - Article cité"
"formatIstexRefbibsDescription"	"Format used in the summary review which displays the top 10 most cited articles in the journal. They are paginated in order of relevance."	"Format utilisé dans la revue de sommaire qui  affiche le top 10 des articles les plus cités de la revue. Ils sont paginés par ordre de pertinence."
"formatIstexCitation"	"Other - Citing article"	"Autre - Article citant"
"formatIstexCitationDescription"	"Format used in the summary review that displays the paginated list of papers from the top 10 journals (1) in order of importance, citing that journal when present in the api-Istex."	"Format utilisé dans la revue de sommaire qui affiche la liste paginée des documents des 10 premières revues (1) par ordre d’importance, citant cette revue lorsqu’ils sont présents dans l’api-Istex."
"data"	"Data"	"Données"
"display"	"Display"	"Affichage"
"add_more"	"Add more"	"Ajouter"
"hidden_resources"	"Hidden resources"	"Ressources cachées"
"model_imported_with_success"	"Model successfully imported"	"Modèle importé avec succès"
"main_resource"	"Main resource"	"Ressource principale"
"subresources"	"Subresources"	"Sous-ressources"
"new_resource"	"New resource"	"Nouvelle ressource"
"import_file_text"	"Drop your file on this page or click here"	"Glisser un fichier sur cette page ou cliquer ici"
"new_subresource"	"New subresource"	"Nouvelle sous-ressource"
"delete"	"Delete"	"Supprimer"
"confirm_delete_subresource"	"This subresource and all its fields will be definitively deleted, Are you sure?"	"Cette sous-ressource ainsi que tous les champs associés vont êtres supprimés. Êtes-vous sûr de vouloir continuer ?"
"no_field_add"	"Configure your display by clicking on the button « New Field »"	"Configurez votre affichage  en cliquant sur le bouton « Nouveau champ »"
"no_field_add_resource"	"Configure your display by clicking on one of the buttons above"	"Configurez votre affichage  en cliquant sur l'un des boutons ci-dessus"
"transformer_no_editable_with_subresource_uid_value"	"Transformation operations can't be edited when subresource uid is selected"	"Les opérations de transformation ne peuvent êtres éditées quand la valeur choisie est un uid de sous-ressource"
"subresource_name"	"Name"	"Nom"
"subresource_id"	"Identifier"	"Identifiant"
"subresource_path"	"Path"	"Chemin"
"settings"	"Settings"	"Paramètres"
"warning_frontend_modification"	"Warning, modifications from this interface can be overwritten. Please modify them from the administration interface to make them constant."	"Attention, les modifications depuis cette interfaces peuvent êtres écrasées. Veuillez les modifier depuis l'interface d'administration pour les rendre permanentes."
"back_to_resource"	"Back to resource"	"Retourner à la ressource"
"actually"	"Actually"	"Actuellement"
"number_of_char_title"	"Title limited to (number of characters)"	"Titre limité à (nombre de caractères)"
"number_of_char_summary"	"Description limited to (number of characters)"	"Description limitée à (nombre de caractères)"
"open_in_new_tab"	"Open resource in a new tab"	"Ouvrir la ressource dans un nouvel onglet"
"new_tab_label"	"Open link in a new tab"	"Ouvrir le lien dans un nouvel onglet"
"choose_delimiter"	"Choose a delimiter character (or not)"	"Choisir un caractère de séparation (facultatif)"
"formatPaginatedTable"	"Other - Paginated Table"	"Autre - Tableau Paginé"
"formatPaginatedTableDescription"	"Paginated Table"	"Tableau Paginé"
"formatUnpaginatedTable"	"Other - Unpaginated Table"	"Autre - Tableau Non Paginé"
"formatUnpaginatedTableDescription"	"Unpaginated Table"	"Tableau Non Paginé"
"rows_per_page"	"Rows per page"	"Lignes par page"
"table_title"	"Title (title)"	"Titre (title)"
"table_summary"	"Summary (summary)"	"Description (summary)"
"table_source"	"Source (source)"	"Source (source)"
"table_target"	"Target (target)"	"Cible (target)"
"table_weight"	"Weight (weight)"	"Poids (weight)"
"table_value"	"Value (value)"	"Valeur (value)"
"table_url"	"Url (url)"	"Url (url)"
"table_id"	"Identifier (id)"	"Identifiant (id)"
"table_other"	"Custom field"	"Champ personnalisé"
"table_other_field"	"Custom field name"	"Nom du champ personnalisé"
"table_field"	"Routine field (name)"	"Champ de la routine (nom)"
"column_title"	"Column title"	"Titre de la colonne"
"number_of_column"	"Number of columns"	"Nombre de colonnes"
"info_upload"	"Warning"	"Attention"
"info_publish_desc"	"The data you are about to add will replace the data already loaded if they have identical identifiers."	"Les données que vous vous apprêtez à ajouter se substitueront aux données déjà chargées si elles possèdent des identifiants identiques."
"enrichments"	"Enrichments"	"Enrichissements"
"new_enrichment"	"New enrichment"	"Nouvel enrichissement"
"expand_rules"	"Expand rules"	"Règles de développement"
"webServiceUrl"	"Web service URL"	"URL du web service"
"internalName"	"Internal name"	"Nom interne"
"internalScope"	"Field icon(s)"	"Icône(s) du champ"
"advancedMode"	"Advanced mode"	"Mode avancé"
"name"	"Name"	"Nom"
"sourceColumn"	"Source column"	"Colonne de la source"
"sourceColumns"	"Source column(s)"	"Colonne(s) source(s)"
"subPath"	"Sub-path"	"Sous-chemin"
"subPathHelper"	"Leave empty to directly send the column value"	"Laisser vide pour utiliser directement la valeur de la colonne"
"imported_lines"	"lines imported"	"lignes importées"
"home_tooltip"	"Home"	"Accueil"
"document_tooltip"	"Ressource"	"Ressource"
"subRessource_tooltip"	"Subresource"	"Sous-ressource"
"facet_tooltip"	"Facet"	"Facette"
"chart_tooltip"	"Chart"	"Graphique"
"other_column"	"Other column"	"Autre nom de colonne"
"other"	"Other"	"Autre"
"isPublished"	"Published"	"Publié"
"isNotPublished"	"Not published"	"Non publié"
"run"	"Run"	"Lancer"
"sourcePreview"	"Source preview"	"Aperçu de la source"
"waiting"	"Waiting..."	"En attente..."
"other_column_placeholder"	"Enter column name"	"Entrer un nom de colonne"
"remove_enrichment_dialog_title"	"Delete enrichment ?"	"Supprimer l'enrichissement ?"
"remove_enrichment_dialog_content"	"By deleting the enrichment, you'll completely remove the column."	"En supprimant l'enrichissement, vous allez complétement supprimer la colonne."
"remove_enrichment_dialog_content_2"	"All the fields available on front-end referencing this column will be on error."	"Tous les champs disponibles sur le front-end faisant référence à cette colonne seront en erreur."
"cancelPublicationTitle"	"Cancel running publication ?"	"Annuler la publication en cours ?"
"cancelPublicationContent"	"By cancelling running publication, you also clear published data. All the pages available on front-end won't be available anymore for users."	"En annulant la publication en cours, vous supprimerez également les données publiées. Toutes les pages du front-end ne seront plus accessibles aux utilisateurs."
"rows_per_page"	"Rows per page"	"Lignes par page"
"cancelEnrichmentTitle"	"Cancel running enrichment ?"	"Annuler l'enrichissement en cours ?"
"cancelEnrichmentContent"	"By cancelling running enrichment, you also clear already enriched data."	"En annulant l'enrichissement en cours, vous supprimerez également les données déjà enrichies."
"cancelPrecomputerTitle"	"Cancel running precomputing ?"	"Annuler le précalcul en cours ?"
"cancelPrecomputerContent"	"Confirm cancelling of running precomputing."	"Confirmer l'annulation du précalcul en cours."
"advancedModePreviewInfo"	"Source preview replaces [URLConnect] with [transit] and runs your ini file, as if all instructions were executed, except the call to web services."	"L'aperçu de la source remplace [URLConnect] par [transit] et exécute votre fichier ini, comme si toutes les instructions étaient exécutées, sauf l'appel aux services web."
"enrichment_logs"	"Enrichment logs"	"Logs de l'enrichissement"
"precomputed_logs"	"Precomputed data logs"	"Logs des données précalculées"
"precomputed_data"	"Precomputed data"	"Données précalculées"
"published_data"	"Published data"	"Données publiées"
"toggle_loaded"	"Show/hide loaded columns"	"Afficher/cacher les colonnes chargées"
"toggle_enriched"	"Show/hide enriched columns"	"Afficher/cacher les colonnes enrichies"
"import_model_published"	"Unpublish the data to be able to import a model"	"Dépubliez les données pour pouvoir importer un modèle"
"empty_logs"	"Other enrichissement in pending or empty"	"Un autre enrichissement est en cours ou celui-ci est vide"
"jobs_cleared"	"All jobs have been cleared"	"Toutes les tâches de fond ont été effacées"
"model_cleared"	"Model has been cleared"	"Le modèle a été effacé"
"model_not_cleared"	"Model has not been cleared"	"Le modèle n'a pas été effacé"
"dataset_edit_title"	"Column %{column_name} for row %{row_name}"	"Colonne %{column_name} pour la ligne %{row_name}"
"dataset_edit_enrichment_title"	"Enrichment %{column_name} for row %{row_name}"	"Enrichissement %{column_name} pour la ligne %{row_name}"
"dataset_edit_success"	"Field updated with value"	"Champ mis à jour avec la nouvelle valeur"
"header_name_with_errors"	"%{name} (%{errorCount} errors)"	"%{name} (%{errorCount} erreurs)"
"ws_post-v1-rnsr-json_title"	"Affiliation to RNSR (using rules)"	"Affiliation vers RNSR (par règle)"
"ws_post-v1-rnsr-json_description"	"Finds the identifier of the National Repository of Research Structures for an affiliation address (with name of the structure)."	"Trouve l’identifiant du Référentiel Nationale des Structure de Recherche pour une adresse d’affiliation (avec nom de la structure)."
"ws_post-v1-halauthorid-idref-json_title"	"halAuthorId to idRef"	"halAuthorId vers idRef"
"ws_post-v1-halauthorid-idref-json_description"	"Gives the idRef corresponding to a halAuthorID."	"Donne l’idRef correspondant à un halAuthorID."
"ws_post-v1-homogenize-document-type-json_title"	"Homogenize document type"	"Homogénéisation du type de document"
"ws_post-v1-homogenize-document-type-json_description"	"Brings different forms of writing from the document type to a standardized form."	"Ramène différentes formes d’écriture du type de document à une forme standardisée."
"ws_post-v1-homogenize-publisher-json_title"	"Homogenize publisher"	"Homogénéisation de l’éditeur"
"ws_post-v1-homogenize-publisher-json_description"	"Brings different forms of writing from the publisher to a standardized form."	"Ramène différentes formes d’écriture d'un éditeur à une forme standardisée."
"ws_post-v1-homogenize-source-json_title"	"Homogenize source"	"Homogénéisation de la source"
"ws_post-v1-homogenize-source-json_description"	"Brings different forms of writing from the notice source (newspaper, conference, ...) to a standardized form."	"Ramène différentes formes d’écriture de la source d’une notice (journal, conférence, …) à une forme standardisée."
"ws_post-v1-idref-orcid-json_title"	"idRef to ORCID"	"idRef vers ORCID"
"ws_post-v1-idref-orcid-json_description"	"Gives the ORCID corresponding to an idRef."	"Donne l’ORCID correspondant à un idRef."
"ws_post-v1-rnsr-instituts-cnrs-json_title"	"RNSR to CNRS institutes"	"RNSR vers Instituts du CNRS"
"ws_post-v1-rnsr-instituts-cnrs-json_description"	"Gives the CNRS institute to which the structure whose RNSR identifier is given belongs."	"Donne l’institut du CNRS auquel appartient la structure dont l’identifiant RNSR est donné."
"ws_post-v1-crossref-prefixes-expand_title"	"Verbalization of DOI prefixes"	"Verbalisation des préfixes de DOI"
"ws_post-v1-crossref-prefixes-expand_description"	"Gives the name of the publisher from the DOI from which it extracts the root (from Crossref)."	"Donne le nom de l'éditeur à partir du DOI dont il extrait la racine (à partir de Crossref)."
"ws_post-v1-teeft-en_title"	"Extracting terms from an English text via Teeft"	"Extraction de termes d’un texte anglais via Teeft"
"ws_post-v1-teeft-en_description"	"Extract the 5 most relevant terms from an English text."	"Extrait les 5 termes les plus pertinents d’un texte en anglais."
"ws_post-v1-teeft-fr_title"	"Extracting terms from a French text via Teeft"	"Extraction de termes d’un texte français via Teeft"
"ws_post-v1-teeft-fr_description"	"Extract the 5 most relevant terms from a French text."	"Extrait les 5 termes les plus pertinents d’un texte en français."
"ws_post-v1-teeft-with-numbers-en_title"	"Extracting terms from an English text via Teeft (with numbers)"	"Extraction de termes d’un texte anglais via Teeft (nombres compris)"
"ws_post-v1-teeft-with-numbers-en_description"	"Extract the 5 most relevant terms from an English text. Can extract numbers"	"Extrait les 5 termes les plus pertinents d’un texte en anglais. Peut extraire des nombres."
"ws_post-v1-addresses-parse_title"	"Splitting an address"	"Découpage d’une adresse"
"ws_post-v1-addresses-parse_description"	"Splits an address into several semantically different pieces of information such as country, street or postal code."	"Découpe une adresse en plusieurs informations sémantiquement différentes comme le pays, la rue ou le code postal."
"ws_post-v1-detect-lang_title"	"Text language detection"	"Détection de la langue d’un texte"
"ws_post-v1-detect-lang_description"	"Detects the language of a text document and returns the language code and the corresponding probability."	"Détecte la langue d’un document texte et renvoie le code langue et la probabilité correspondante."
"ws_post-v1-en-classify_title"	"Classification into scientific fields"	"Classification en domaines scientifiques"
"ws_post-v1-en-classify_description"	"Classifies scientific documents in English in the Pascal classification plan (Sciences, Techniques and Medicine) or Francis (Humanities and Social Sciences)."	"Classe des documents scientifiques en anglais dans le plan de classement Pascal (Sciences, Techniques et Médecine) ou Francis (Sciences Humaines et Sociales)."
"ws_post-v1-en-classhalen_title"	"Classification in HAL domains"	"Classification dans les domaines HAL"
"ws_post-v1-en-classhalen_description"	"The web service of classification HAL takes in entry a text in English and gives the corresponding scientific field in the plan of classification used by the base HAL."	"Le web service de classification HAL prend en entrée un texte en anglais et donne le domaine scientifique correspondant dans le plan de classement utilisé par la base HAL."
"ws_post-v1-unpaywall-expand_title"	"Unpaywall (Info related to Open Access)"	"Unpaywall (Infos liées à l'Open Access)"
"ws_post-v1-unpaywall-expand_description"	"Get unpaywall info from doi (is_oa, oa_status, host_type, has_repository_copy)."	"Récupère des infos d'unpaywall à partir du doi (is_oa, oa_status, host_type, has_repository_copy)."
"pc_post-v1-tree-segment_title"	"Tree-segment"	"Tree-segment"
"pc_post-v1-tree-segment_description"	"Create sliding pairs of all elements in an array and aggregate these pairs to count them. Since the pairs are sliding, this process is used to create pairs that represent a hierarchical tree."	"Créer des segments glissant 2 à 2 de tous les éléments d'un tableau et agrège ces segments pour les compter. Le segment étant glissant, ce traitement sert à créer des segments qui représente un arbre hiérachique."
"pc_post-v1-graph-segment_title"	"Graph-segment"	"Graph-segment"
"pc_post-v1-graph-segment_description"	"Create pairs of all elements in an array and aggregate these pairs to count them. The pairs represent all possible associations, and this process is used to create pairs that represent a network."	"Créer des segments 2 à 2 avec tous les éléments d'un tableau et agrège ces segments pour les compter Les segments reprsentent toutes la associations possibles, ce traitement sert à créer des segments qui représente un réseau."
"pc_post-v1-lda_title"	"Lda"	"Lda"
"pc_post-v1-lda_description"	"Create a «lda» field consisting of 5 topics from the set of documents. Each topic contains a «word» field, which is composed of a list of 10 words that are most characteristic of the topic, as well as a «weight» field that corresponds to the weight associated with the topic in the document. The text must be in English."	"Créer à partir de l'ensemble des documents un champ «lda» constitué de 5 topics. Chaque topic contient un champ «word», qui est composé d'une liste de 10 mots qui sont les plus caractéristiques du topic, ainsi que d'un champ «weight» qui correspond au poids associé au sujet dans le document. Le texte doit être en anglais."
"refresh_button"	"Refresh"	"Rafraîchir"
"cancelImportTitle"	"Cancel running import ?"	"Annuler l'import en cours ?"
"cancelImportContent"	"By cancelling running import, you also clear already imported data."	"En annulant l'import en cours, vous supprimerez également les données déjà importées."
"transformer_ARRAY"	"Transforms comma-separated data into an array."	"Transforme des données séparées par des virgules en un tableau."
"transformer_BOOLEAN"	"Transforms the value of the field into a boolean (whose value can only be true or false, true or false). This is only useful if the expected value is a boolean (by default, the value of a field is a string)."	"Transforme la valeur du champ en un booléen (dont la valeur ne peut être que true ou false, vrai ou faux). Ceci n’est utile que si la valeur attendue est un booléen (par défaut, la valeur d’un champ est une chaîne de caractères)."
"transformer_CAPITALIZE"	"Sets the first letter of the string to uppercase, and all others to lowercase."	"Met la première lettre de la chaîne de caractères en majuscule, et toutes les autres en minuscules."
"transformer_DEFAULT"	"Returns a default value if the default value does not exist (is null, undefined, 0, “”, i.e. one of JavaScript's falsy values)."	"Renvoie une valeur par défaut si la valeur par défaut n’existe pas (vaut null, undefined, 0, “”, c’est-à-dire une des valeurs falsy de Javascript)."
"transformer_FORMAT"	"Returns a string including the value and the characteristics given in parameter."	"Renvoie une chaîne de caractères incluant la valeur et les caractéristiques  données en paramètre."
"transformer_GET"	"Allows you to select part of a JSON object, we obtain a string."	"Permet de sélectionner une partie d’un objet JSON, on obtient une chaine de caractère."
"transformer_JOIN"	"Gathers the elements of an array into a string, separating them with the string provided by the parameter."	"Rassemble les éléments d’un tableau dans une chaîne de caractères, en les séparant par la chaîne fournie par le paramètre."
"transformer_LOWERCASE"	"Returns the lowercase value (string or array of strings)."	"Renvoie la valeur en bas de casse (chaîne de caractères ou tableau de chaînes de caractères)."
"transformer_MAPPING"	"Operation allowing replacement from a table (equivalent to the sequence of several REPLACE operations). Verbalization of institute acronyms, languages, etc."	"Opération permettant le remplacement à partir d’une table (équivalent à l’enchaînement de plusieurs opérations REPLACE).Verbalisation des acronymes d’institut, des langues…."
"transformer_MASK"	"Allows to filter (render null) the values of a field that correspond to a mask defined with regular expressions."	"Permet de filter (rendre null)  les valeurs d’un champ qui correspondent à un masque défini avec des expressions régulières."
"transformer_NUMBER"	"Transforms the field value into a number. This is only useful if the expected value of the field is a number."	"Transforme la valeur du champ en un nombre. Ceci n’est utile que si la valeur attendue du champ est un nombre."
"transformer_PARSE"	"Transforms a string into a JavaScript object (JSON)"	"Transforme une chaîne de caractères en un objet JavaScript (JSON)"
"transformer_PREFIX"	"Prefixes a field value with a string. When the value is an array, the string is inserted at the beginning of the array."	"Préfixe une valeur de champ avec une chaîne de caractères. Lorsque la valeur est un tableau, la chaîne de caractères est insérée au début du tableau."
"transformer_REMOVE"	"Delete a substring from a string, or an element from an array."	"Supprime une sous-chaîne d’une chaîne de caractères, ou un élément d’un tableau."
"transformer_REPLACE"	"Replaces one string with another."	"Remplace une chaîne de caractères par une autre."
"transformer_REPLACE_REGEX"	"Replace a string from regular expression"	"Remplace une chaine de caractère à partir d’expression régulière"
"transformer_SELECT"	"Allows you to retrieve different values from different arrays and retain the array when a value is unique. Select the elements of the array to use."	"Permet de récupérer différentes valeurs dans différents tableaux et de de conserver le tableau lorsqu’une valeur est unique. Sélectionne l’éléments du tableau à exploiter."
"transformer_SHIFT"	"Shifts the start of the field value to the right, by the given parameter. In doing so, it removes the start of the value. Applies to strings or arrays."	"Décale le début de la valeur du champ vers la droite, en fonction du paramètre donné. Ce faisant, il supprime le début de la valeur. S’applique sur des chaînes de caractères ou des tableaux."
"transformer_SPLIT"	"Cuts a string, separating the pieces using the string passed as a parameter."	"Découpe une chaîne de caractères, en séparant les morceaux grâce à la chaîne de caractères passée en paramètre."
"transformer_STRING"	"Transforms the value of the field into a string. This is only useful if it is not already a string (default type), or if you want to remove spaces at the beginning and end of a string."	"Transforme la valeur du champ en une chaîne de caractères. Ceci n’est utile que si elle n’est pas déjà une chaîne (type par défaut), ou si vous voulez supprimer les espaces au début et à la fin d’une chaîne."
"transformer_SUFFIX"	"Adds a string to the end of the field value. When the value is an array, the string is appended to the end of the array."	"Ajoute une chaîne de caractères à la fin de la valeur du champ. Lorsque la valeur est un tableau, la chaîne est ajoutée à la fin du tableau."
"transformer_TRIM"	"Remove spaces from the beginning and end of the field value when it is a string. Otherwise, returns the value without touching it."	"Supprime les espaces au début et à la fin de la valeur du champ quand c’est une chaîne de caractères. Sinon, renvoie la valeur sans la toucher."
"transformer_TRUNCATE"	"Deletes the last element of the field value, according to the number passed in parameter."	"Supprime le dernier élément de la valeur du champ, en fonction du nombre passé en paramètre."
"transformer_TRUNCATE_WORDS"	"Allows you to keep a maximum of n words (n being the numeric parameter)"	"Permet de garder au maximum n mots ( n étant le paramètre numérique)"
"transformer_UNIQ"	"Removes duplicate values when the field is an array. Returns the value when it is a string, number or boolean. Returns null otherwise."	"Dédoublonne les valeurs de la valeur du champ quand c’est un tableau. Retourne la valeur quand c’est une chaîne, un nombre ou un booléen. Renvoie null sinon."
"transformer_UPPERCASE"	"Returns a string where all characters are uppercase."	"Renvoie une chaîne de caractères où tous les caractères sont en majuscules."
"transformer_URLENCODE"	"Avoid encoding problems in URLs"	"Permet d’éviter les problèmes d’encodage dans les URL"
"tooltip_objectifTDM"	"Link objectif TDM"	"Lien objectif TDM"
"tooltip_swagger"	"Link swagger"	"Lien du swagger"
"facet_invalid_format"	"This facet is invalid"	"Cette facette est invalide"
"save_as"	"Save as %{type}"	"En tant que %{type}"
"value_not_an_object"	"Value is not an object"	"La valeur n’est pas un objet"
"value_not_an_array"	"Value is not an array"	"La valeur n’est pas un tableau"
"value_not_a_number"	"Value is not a number"	"La valeur n’est pas un nombre"
"ws_post-v1-cnrsunit_title"	"Detection of CNRS units"	"Détections d'unités CNRS"
"ws_post-v1-cnrsunit_description"	"Gives information on a CNRS address with a unit code."	"Donne des informations sur une adresse CNRS comportant un code unité."
"ws_post-v1-D63-identify_title"	"Associate a term with the vocabulary of the communes of France"	"Associer un terme au vocabulaire des communes de France"
"ws_post-v1-D63-identify_description"	"Associate a commune in France with the corresponding Loterre vocabulary."	"Associe une communes de France au vocabulaire Loterre correspondant."
"ws_post-v1-tools_title"	"Normalise a text or a term"	"Normaliser un texte ou un terme"
"ws_post-v1-tools_description"	"Standardisation of terms in a text."	"Normalisation des termes d'un texte."
"ws_post-v1-9SD-identify_title"	"Associate a term with the vocabulary Country and Subdivision"	"Associer un terme au vocabulaire Pays et Subdivision"
"ws_post-v1-9SD-identify_description"	"Associate a country or subdivision with the corresponding Loterre vocabulary."	"Associe un pays ou subdivision au vocabulaire Loterre correspondant."
"ws_post-v1-perseeBaipTagger_title"	"Detection of named entities in public education administrative bulletins"	"Détection d’entités nommées dans les bulletins administratifs de l'instruction publique"
"ws_post-v1-perseeBaipTagger_description"	"Detects school organizations and locations in the PEAB."	"Détecte les organismes scolaires et localisations dans les BAIP."
"ws_post-v1-gotagger_title"	"Detection of geographical entities"	"Détection d’entités géographiques"
"ws_post-v1-gotagger_description"	"Detects geographical features in an english text."	"Détecte les entités géographiques d'un texte en anglais."
"enrichment_advanced_mode_tooltip"	"Don't forget to add enrichment for having preview"	"N'oubliez pas d'ajouter l'enrichissement pour avoir la preview"
"setting_field_tooltip"	"Edit field"	"Configurer le champ"
"duplicate_field_tooltip"	"Duplicate field"	"Dupliquer le champ"
"duplicate_field_success"	"Field duplicated"	"Champ dupliqué"
"duplicate_field_error"	"Error while duplicating field"	"Erreur lors de la duplication du champ"
"tooltip_recommendedWith"	"Recommended with"	"Recommandé avec"
"tooltip_documentation"	"Documentation"	"Documentation"
"r-all-documents_title" 	"all-documents" 	"all-documents"
"r-all-documents_description" 	"Gives, for the whole corpus, the content of all documents in JSON." 	"Donne, pour tout le corpus, le contenu de tous les documents en JSON."
"r-classif-by_title" 	"classif-by" 	"classif-by"
"r-classif-by_description" 	"Is intended for a type of graph allowing to visualize the diachronic evolutions of the weight of themes contained in the documents of a corpus." 	"Est destinée à un type de graphique permettant de visualiser les évolutions diachroniques du poids de thématiques contenues dans les documents d’un corpus."
"r-count-all_title" 	"count-all" 	"count-all"
"r-count-all_description" 	"Counts the number of documents in the corpus." 	"Compte le nombre de documents du corpus."
"r-count-by-fields_title" 	"count-by-fields" 	"count-by-fields"
"r-count-by-fields_description" 	"Counts the number of documents in the corpus for each of the field identifiers declared in the model." 	"Compte le nombre de documents du corpus pour chacun des identifiants des champs déclarés dans le modèle."
"r-cross-by_title" 	"cross-by" 	"cross-by"
"r-cross-by_description" 	"Crosses items for one or more fields and counts the number of occurrences of each cross." 	"Croise les éléments pour un champ ou plusieurs champs et compte le nombre d’occurences de chaque croisement."
"r-decompose-by_title" 	"decompose-by" 	"decompose-by"
"r-decompose-by_description" 	"Crosses elements for one or more fields and counts the number of occurrences of each cross." 	"Croise les éléments pour un champ ou plusieurs champs et compte le nombre d’occurrences de chaque croisement."
"r-distinct-ISO3166-1-alpha2-from_title" 	"distinct-ISO3166-1-alpha2-from" 	"distinct-ISO3166-1-alpha2-from"
"r-distinct-ISO3166-1-alpha2-from_description" 	"Transforms the verbalized countries of the represented field into their ISO 2." 	"Transforme les pays verbalisés du champ représenté en leurs codes ISO 2."
"r-distinct-ISO3166-1-alpha3-from_title" 	"distinct-ISO3166-1-alpha3-from" 	"distinct-ISO3166-1-alpha3-from"
"r-distinct-ISO3166-1-alpha3-from_description" 	"Transforms the verbalized countries of the represented field into their ISO 3." 	"Transforme les pays verbalisés du champ représenté en leurs codes ISO 3."
"r-distinct-alpha-2-alpha3-from_title" 	"distinct-alpha-2-alpha3-from" 	"distinct-alpha-2-alpha3-from"
"r-distinct-alpha-2-alpha3-from_description" 	"Transforms the ISO 2 codes of the countries in the represented field into their ISO 3 codes." 	"Transforme les codes ISO 2 des pays du champ représenté en leurs codes ISO 3."
"r-distinct-alpha-3-alpha2-from_title" 	"distinct-alpha-3-alpha2-from" 	"distinct-alpha-3-alpha2-from"
"r-distinct-alpha-3-alpha2-from_description" 	"Transforms the ISO 3 codes of the countries in the represented field into their ISO 2 codes." 	"Transforme les codes ISO 3 des pays du champ représenté en leurs codes ISO 2."
"r-distinct-alpha-3-ISO3166-1-from_title" 	"distinct-alpha-3-ISO3166-1-from" 	"distinct-alpha-3-ISO3166-1-from"
"r-distinct-alpha-3-ISO3166-1-from_description" 	"Transforms the ISO 3 codes of the countries in the represented field into verbalized headings." 	"Transforme les codes ISO 3 des pays du champ représenté en intitulés verbalisés."
"r-distinct-alpha-3-ISO639-from_title" 	"distinct-alpha-3-ISO639-from" 	"distinct-alpha-3-ISO639-from"
"r-distinct-alpha-3-ISO639-from_description" 	"Transforms the ISO 3 codes of the languages of the represented field into verbalised headings." 	"Transforme les codes ISO 3 des langues du champ représenté en intitulés verbalisés."
"r-distinct-by_title" 	"distinct-by" 	"distinct-by"
"r-distinct-by_description" 	"Counts, for each element of the represented field (identifier), the number of times this element appears." 	"Compte, pour chaque élément du champ représenté (identifiant), le nombre de fois où cet élément apparaît."
"r-distinct-by-field_title" 	"distinct-by-field" 	"distinct-by-field"
"r-distinct-by-field_description" 	"This routine behaves like the distinct-by routine. But additionally, it can interpret the parameters associated with the graphs." 	"Cette routine se comporte comme la routine distinct-by. Le petit + : elle sait interpréter les paramètres associés aux graphiques."
"r-distribute-by-date_title" 	"distribute-by-date" 	"distribute-by-date"
"r-distribute-by-date_description" 	"Is used to create timelines that retain years without document or zero value." 	"Sert à créer des chronologies qui conservent les années sans document/de valeur nulle."
"r-distribute-by-decadal_title" 	"distribute-by-decadal" 	"distribute-by-decadal"
"r-distribute-by-decadal_description" 	"Is used to create timelines by grouping values by decade (useful for years scattered over several centuries)." 	"Sert à créer des chronologies en regroupant les valeurs par décennie (utile pour des années dispersées sur plusieurs siècles)."
"r-distribute-by-interval_title" 	"distribute-by-interval" 	"distribute-by-interval"
"r-distribute-by-interval_description" 	"Is intended for graphs where you want to group values (integers or decimals) in intervals of step “1“." 	"Est destinée à des graphiques pour lesquels on souhaite regrouper des valeurs (nombres entiers ou décimaux) dans des intervalles de pas “1”."
"r-get-fields_title" 	"get-fields" 	"get-fields"
"r-get-fields_description" 	"get-fields description" 	"get-fields description"
"r-graph-by_description" 	"Combines the value of two separate fields." 	"Associe la valeur de deux champs distincts."
"r-graph-by_title" 	"graph-by" 	"graph-by"
"r-graph-by_description" 	"Crosses items for one or more fields and counts the number of occurrences of each cross." 	"Croise les éléments pour un champ ou plusieurs champs et compte le nombre d’occurences de chaque croisement."
"r-pairing-with_title" 	"pairing-with" 	"pairing-with"
"r-pairing-with_description" 	"Crosses items for one or more fields and counts the number of occurrences of each cross." 	"Croise les éléments pour un champ ou plusieurs champs et compte le nombre d’occurences de chaque croisement."
"r-sparql-query_title" 	"sparql-query" 	"sparql-query"
"r-sparql-query_description" 	"Is used to make distribution graphs by taking its data from a tripleStore and not from Lodex." 	"Sert à faire des graphiques de distribution en prenant ses données dans un tripleStore et non dans Lodex."
"r-syndication_title" 	"syndication" 	"syndication"
"r-syndication_description" 	"Retrieves the fields set up in Syndication in the template configuration." 	"Récupère les champs paramétrés dans Syndication dans la configuration du modèle."
"r-syndication-from_title" 	"syndication-from" 	"syndication-from"
